onset	duration	event_type
459	0	final_contact_left
545	0	initial_contact_left
569	0	final_contact_right
619	0	start
651	0	initial_contact_right
669	0	final_contact_left
749	0	initial_contact_left
765	0	final_contact_right
843	0	initial_contact_right
861	0	final_contact_left
940	0	initial_contact_left
957	0	final_contact_right
1035	0	initial_contact_right
1054	0	final_contact_left
1129	0	initial_contact_left
1148	0	final_contact_right
1233	0	initial_contact_right
1262	0	final_contact_left
1265	0	stop
