onset	duration	event_type
385	0	final_contact_left
475	0	initial_contact_left
505	0	final_contact_right
574	0	start
590	0	initial_contact_right
625	0	final_contact_left
712	0	initial_contact_left
739	0	final_contact_right
817	0	initial_contact_right
843	0	final_contact_left
923	0	initial_contact_left
950	0	final_contact_right
1028	0	initial_contact_right
1056	0	final_contact_left
1136	0	initial_contact_left
1163	0	final_contact_right
1242	0	initial_contact_right
1274	0	final_contact_left
1354	0	initial_contact_left
1387	0	final_contact_right
1426	0	stop
1469	0	initial_contact_right
1528	0	final_contact_left
